
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
30	Consulting Services	93.40B	30.47	24.33	2.67	3.13	8.76	43.18	27.36	17.96%	11.40%	6.60%	-0.77%	8.64M
31	Consumer Electronics	3165.62B	29.95	24.89	3.61	6.14	25.11	39.83	27.78	14.99%	8.30%	8.20%	-0.24%	55.73M
32	Copper	141.83B	24.40	16.92	1.60	3.46	4.38	14.56	26.15	17.43%	15.23%	10.33%	0.43%	24.71M
33	Credit Services	1703.64B	27.30	20.32	1.85	5.16	5.97	11.21	17.63	10.23%	14.72%	10.52%	-0.77%	124.36M
34	Department Stores	11.78B	10.91	14.14	-	0.26	1.23	5.25	11.94	30.49%	-12.05%	-0.50%	-0.21%	15.69M
35	Diagnostics & Research	642.96B	33.48	21.90	3.46	3.95	3.63	25.58	27.07	10.16%	9.68%	9.78%	-0.16%	57.31M
36	Discount Stores	1334.84B	40.87	33.54	4.43	1.15	9.36	44.78	47.12	9.41%	9.23%	7.09%	-0.50%	32.40M
37	Drug Manufacturers - General	3056.20B	23.72	13.17	1.18	4.39	6.03	22.78	17.82	5.76%	20.12%	9.28%	-0.07%	208.29M
38	Drug Manufacturers - Specialty & Generic	287.26B	30.61	13.14	1.92	2.16	2.10	11.49	14.90	11.61%	15.91%	8.35%	-1.09%	106.17M
39	Education & Training Services	52.18B	21.19	16.74	1.49	1.53	2.44	3.37	17.58	13.48%	14.24%	8.65%	-0.34%	64.92M
40	Electrical Equipment & Parts	138.66B	36.22	24.03	1.56	3.35	5.43	19.14	33.71	22.42%	23.15%	10.69%	-0.38%	110.54M
41	Electronic Components	372.89B	42.42	24.23	2.18	2.50	5.97	24.80	32.11	16.52%	19.49%	7.66%	-0.81%	41.99M
42	Electronic Gaming & Multimedia	257.98B	43.23	21.45	2.21	6.98	8.14	9.10	28.62	-25.49%	19.59%	23.29%	-0.56%	14.76M
43	Electronics & Computer Distribution	28.72B	16.31	10.16	1.41	0.23	1.24	14.17	12.85	5.12%	11.60%	8.89%	-0.40%	2.89M
44	Engineering & Construction	325.54B	21.43	27.03	1.26	1.64	5.28	20.42	27.37	24.29%	16.97%	11.08%	1.31%	34.48M
45	Entertainment	1077.33B	48.18	33.27	2.51	3.23	4.68	18.73	29.10	17.58%	19.17%	11.68%	-1.53%	139.42M
46	Farm & Heavy Construction Machinery	442.63B	21.49	19.40	11.26	2.19	4.83	16.34	22.65	16.21%	1.91%	4.27%	0.22%	29.00M
47	Farm Products	75.37B	13.42	12.99	2.81	0.36	1.23	5.14	25.35	13.00%	4.78%	7.36%	3.27%	16.97M
48	Financial Conglomerates	47.48B	15.68	2.90	1.11	1.46	1.35	3.11	26.82	5.86%	14.11%	17.32%	0.31%	2.90M
49	Financial Data & Stock Exchanges	723.46B	36.35	27.66	3.86	9.52	5.49	31.29	28.02	8.90%	9.42%	17.01%	-1.30%	35.20M
50	Food Distribution	81.06B	27.95	17.11	1.95	0.33	4.95	42.87	20.56	29.90%	14.33%	11.66%	-0.78%	10.01M
51	Footwear & Accessories	169.96B	29.95	26.76	2.86	2.15	6.62	12.31	27.52	11.15%	10.46%	11.97%	-0.33%	23.29M
52	Furnishings, Fixtures & Appliances	61.82B	27.34	15.10	2.31	0.87	2.35	15.27	21.47	3.90%	11.81%	7.33%	0.43%	26.19M
53	Gambling	125.63B	72.52	27.34	2.53	3.82	8.10	16.43	34.98	-21.22%	28.72%	43.35%	-0.32%	43.91M
54	Gold	439.45B	21.30	12.88	0.84	4.96	2.73	16.93	25.00	11.88%	25.33%	13.22%	3.14%	233.30M
55	Grocery Stores	79.34B	19.27	14.36	1.65	0.31	4.14	10.15	27.35	14.65%	11.67%	4.96%	-0.65%	20.99M
56	Health Information Services	112.06B	68.13	35.31	3.94	3.23	4.43	8.36	29.39	15.25%	17.30%	22.87%	-0.65%	59.09M
57	Healthcare Plans	504.05B	12.47	10.69	4.52	0.31	1.63	34.83	11.28	-0.77%	2.76%	11.19%	2.76%	93.76M
58	Home Improvement Retail	526.14B	24.29	21.96	4.23	2.08	48.87	102.78	23.96	10.17%	5.74%	6.64%	1.30%	7.69M
59	Household & Personal Products	758.22B	25.72	19.64	4.32	2.91	7.11	30.08	23.91	2.37%	5.96%	3.44%	-0.55%	173.76M
60	Industrial Distribution	225.86B	29.53	23.74	3.53	1.72	6.38	51.47	30.40	15.89%	8.36%	8.87%	0.29%	13.12M
61	Information Technology Services	876.19B	25.09	16.90	2.80	2.24	4.28	14.70	17.03	4.29%	8.95%	4.76%	-2.40%	289.44M
62	Insurance - Diversified	2140.10B	19.06	23.82	12.12	2.49	1.81	3.11	55.43	4.72%	1.57%	8.11%	0.58%	17.36M
63	Insurance - Life	285.99B	14.12	8.40	1.68	1.04	1.49	6535.37	4.54	7.43%	8.42%	-4.62%	0.49%	24.58M
64	Insurance - Property & Casualty	610.65B	10.41	12.41	1.29	1.39	2.05	648.11	7.33	13.32%	8.04%	10.59%	0.49%	36.82M
65	Insurance - Reinsurance	41.95B	11.09	6.37	0.76	0.72	1.01	-	2.88	4.30%	14.61%	16.04%	1.19%	3.52M
66	Insurance - Specialty	77.90B	13.60	10.69	0.88	1.96	1.52	451.37	6.97	4.85%	15.48%	8.61%	0.82%	11.52M
67	Insurance Brokers	350.01B	33.56	20.47	3.07	4.23	4.91	11.70	26.95	16.22%	10.94%	9.39%	0.45%	13.24M
68	Integrated Freight & Logistics	197.62B	15.22	12.79	2.33	0.78	3.06	10.72	21.44	11.09%	6.52%	5.32%	1.28%	25.91M
69	Internet Content & Information	6987.00B	40.23	35.71	2.76	6.86	11.73	22.70	36.44	27.05%	14.57%	17.49%	-0.87%	248.79M
70	Internet Retail	3210.95B	28.52	23.03	1.12	2.69	5.43	10.72	86.81	32.48%	25.38%	23.95%	0.55%	148.01M
71	Leisure	78.05B	40.76	21.37	1.78	1.90	4.28	16.59	25.85	-18.18%	22.89%	11.31%	-1.18%	50.69M
72	Lodging	190.21B	31.14	23.93	2.65	3.25	44.70	29.11	27.42	17.18%	11.76%	4.48%	-0.46%	10.22M
73	Lumber & Wood Production	22.60B	23.16	17.55	5.42	1.06	1.62	9.92	35.24	29.01%	4.27%	10.99%	1.91%	1.85M
74	Luxury Goods	30.71B	36.23	17.53	2.92	1.44	6.81	15.02	20.70	-6.36%	12.42%	2.25%	-0.29%	12.36M
75	Marine Shipping	33.52B	5.18	8.12	0.51	0.97	0.89	4.81	5.14	30.96%	10.11%	16.76%	3.03%	21.02M
76	Medical Care Facilities	203.76B	16.70	12.75	1.27	0.89	3.91	18.40	11.88	10.88%	13.18%	7.10%	0.49%	38.75M
77	Medical Devices	956.07B	30.43	22.37	2.52	4.12	3.95	19.90	32.72	8.73%	12.05%	8.64%	-0.38%	151.79M
78	Medical Distribution	192.16B	28.14	16.52	2.37	0.21	36.70	16.28	15.83	20.78%	11.89%	9.27%	-0.62%	13.09M
79	Medical Instruments & Supplies	462.36B	44.05	22.61	3.90	4.05	3.36	21.41	34.63	11.00%	11.31%	9.51%	-1.11%	112.18M
80	Metal Fabrication	48.81B	25.41	18.36	1.62	2.11	4.12	19.29	24.29	73.71%	15.67%	4.36%	0.96%	7.47M
81	Mortgage Finance	68.30B	58.39	29.94	1.20	3.65	4.91	7.76	739.61	15.45%	48.53%	1.09%	3.96%	43.49M
82	Oil & Gas Drilling	17.24B	14.73	17.67	2.85	0.79	0.66	6.21	14.11	18.39%	5.17%	9.50%	3.57%	55.27M
83	Oil & Gas E&P	606.51B	12.58	11.48	1.00	2.09	1.49	22.02	14.00	18.84%	12.62%	11.98%	0.70%	159.05M
84	Oil & Gas Equipment & Services	205.77B	13.49	13.21	1.36	1.27	1.95	10.10	12.55	38.46%	9.93%	4.56%	1.48%	83.18M
85	Oil & Gas Integrated	1564.19B	14.81	11.23	1.81	0.91	1.45	8.63	9.28	19.43%	8.17%	3.95%	0.83%	101.20M
86	Oil & Gas Midstream	816.74B	17.87	15.72	2.40	1.76	2.97	34.86	16.33	9.93%	7.44%	7.38%	-0.87%	136.17M
87	Oil & Gas Refining & Marketing	184.05B	30.56	12.77	1.58	0.31	1.89	8.68	17.44	6.43%	19.37%	5.13%	0.70%	23.36M
88	Other Industrial Metals & Mining	294.18B	11.91	11.05	-	1.85	1.90	9.61	15.69	-6.22%	-4.44%	4.11%	-0.27%	117.24M
89	Other Precious Metals & Mining	24.88B	42.09	14.81	1.12	2.74	2.23	14.26	86.04	-1.63%	37.62%	13.29%	1.62%	41.63M
90	Packaged Foods	252.25B	20.71	13.36	5.82	1.20	1.90	18.92	13.96	5.10%	3.56%	4.51%	-1.06%	92.82M
91	Packaging & Containers	161.39B	27.25	12.84	1.07	1.02	2.21	17.86	31.12	0.02%	25.53%	4.54%	-0.22%	47.53M
92	Paper & Paper Products	14.36B	51.67	7.07	20.34	0.83	1.44	4.10	9.49	-14.32%	2.54%	4.80%	0.90%	3.76M
93	Personal Services	62.00B	29.72	24.84	2.50	3.38	11.58	23.06	25.32	13.60%	11.88%	6.77%	-1.57%	7.90M
94	Pharmaceutical Retailers	10.42B	-	7.68	-	0.07	1.39	11.15	17.57	36.83%	-16.95%	2.62%	0.25%	4.94M
95	Pollution & Treatment Controls	47.02B	34.95	28.20	2.87	4.74	7.20	23.20	31.88	-23.27%	12.20%	4.06%	0.21%	7.27M
96	Publishing	22.29B	21.58	17.82	2.07	1.64	2.54	16.68	11.05	16.15%	10.42%	2.16%	-0.27%	6.60M
97	Railroads	425.50B	20.37	17.81	2.20	4.66	3.99	70.05	26.68	5.78%	9.28%	4.24%	0.64%	25.65M
98	Real Estate - Development	8.41B	15.07	15.31	-	1.05	0.99	6.79	19.94	4.70%	-2.98%	18.69%	1.36%	2.22M
99	Real Estate - Diversified	6.57B	19.00	42.75	7.28	2.87	1.77	6.99	16.16	20.60%	2.61%	14.73%	1.02%	547.67K
100	Real Estate Services	162.45B	53.25	24.18	2.38	1.22	3.20	8.35	43.15	0.56%	22.42%	11.30%	0.28%	234.49M
101	Recreational Vehicles	23.28B	34.98	17.32	10.53	0.59	1.61	6.35	7.83	-0.41%	3.32%	3.98%	1.59%	6.45M
102	REIT - Diversified	61.18B	17.56	15.60	4.65	6.44	1.28	51.40	13.54	10.18%	3.78%	22.58%	-0.61%	17.09M
103	REIT - Healthcare Facilities	203.78B	88.99	55.23	3.18	7.67	2.40	25.65	30.21	-5.38%	28.01%	10.59%	0.60%	37.19M
104	REIT - Hotel & Motel	29.84B	22.47	24.24	-	1.29	1.16	9.68	11.23	-5.17%	-1.40%	1.72%	-0.30%	39.92M
105	REIT - Industrial	252.96B	31.40	34.24	-	8.01	2.21	65.72	21.90	9.61%	-0.97%	16.84%	1.27%	29.54M
106	REIT - Mortgage	63.24B	19.67	7.29	4.25	2.02	0.90	4.41	11.08	-4.70%	4.63%	17.27%	-0.04%	58.57M
107	REIT - Office	70.05B	49.69	68.72	0.89	3.65	1.05	12.66	11.94	-26.83%	55.91%	4.30%	0.17%	35.70M
108	REIT - Residential	189.54B	30.07	44.50	4.21	7.56	2.33	56.88	21.61	4.56%	7.14%	7.69%	1.24%	32.60M
109	REIT - Retail	235.02B	28.36	29.57	2.52	8.89	2.32	54.63	19.64	0.07%	11.25%	11.47%	1.51%	37.37M
110	REIT - Specialty	391.57B	57.04	36.29	3.52	6.96	6.22	29.99	39.58	4.28%	16.22%	6.92%	-0.79%	27.00M
111	Rental & Leasing Services	151.69B	17.83	16.16	2.14	1.66	2.72	16.62	93.63	4.73%	8.35%	10.64%	-0.13%	19.74M
112	Residential Construction	180.85B	11.19	12.21	-	1.12	1.81	14.16	20.43	26.34%	-1.28%	12.04%	1.30%	19.82M
113	Resorts & Casinos	97.01B	26.53	16.81	1.68	1.17	4.69	7.62	22.83	-1.17%	15.81%	3.19%	-0.46%	28.35M
114	Restaurants	575.93B	29.90	24.40	3.19	3.40	22.58	34.45	32.87	9.18%	9.36%	7.72%	-1.59%	95.33M
115	Scientific & Technical Instruments	196.15B	28.60	21.26	2.16	3.86	3.36	15.18	25.05	8.15%	13.25%	9.17%	-0.20%	30.68M
116	Security & Protection Services	44.67B	22.36	15.04	2.36	1.93	3.84	13.42	15.02	10.70%	9.46%	6.70%	0.50%	24.71M
117	Semiconductor Equipment & Materials	726.19B	25.67	21.09	1.78	6.14	9.15	20.30	26.79	25.35%	14.39%	15.48%	-1.93%	50.82M
118	Semiconductors	8443.08B	49.67	26.93	1.68	13.94	11.88	33.20	52.87	57.30%	29.55%	41.37%	-1.25%	618.25M
119	Shell Companies	37.41B	161.99	414.56	2.91	11.56	3.38	92.55	-	-	55.66%	-	-0.28%	14.38M
120	Silver	9.11B	59.02	21.71	0.95	7.51	2.12	8.83	105.13	-1.56%	62.20%	10.67%	2.15%	29.45M
121	Software - Application	2978.93B	46.98	32.01	2.47	7.86	7.34	17.53	33.94	22.94%	18.99%	19.69%	-0.98%	484.15M
122	Software - Infrastructure	6302.21B	46.05	30.99	2.49	11.41	11.67	26.90	56.32	16.28%	18.46%	17.14%	-0.56%	514.91M
123	Solar	42.22B	21.24	11.44	0.78	1.29	1.68	3.20	37.85	-9.33%	27.20%	11.69%	0.72%	365.26M
124	Specialty Business Services	416.58B	40.17	29.22	3.75	3.64	6.71	31.05	32.91	9.49%	10.70%	7.85%	-1.37%	52.72M
125	Specialty Chemicals	655.97B	34.23	20.63	4.16	2.40	3.43	22.01	38.72	15.28%	8.22%	4.10%	1.20%	59.04M
126	Specialty Industrial Machinery	1091.01B	34.92	25.46	2.82	3.83	5.93	32.87	34.99	-7.91%	12.39%	5.38%	-0.95%	110.85M
127	Specialty Retail	188.98B	22.49	18.64	3.13	0.98	5.59	11.58	23.63	16.97%	7.18%	7.45%	0.30%	55.76M
128	Staffing & Employment Services	17.85B	24.46	12.90	3.74	0.37	2.22	3.97	11.76	-1.07%	6.54%	4.99%	1.14%	7.08M
129	Steel	136.62B	19.28	11.05	0.93	0.55	0.82	4.18	47.62	12.33%	20.72%	6.20%	1.66%	36.01M
130	Telecom Services	1187.29B	14.25	11.92	1.17	1.35	1.89	10.41	9.40	4.47%	12.19%	4.19%	-0.03%	132.84M
131	Textile Manufacturing	1.94B	32.88	16.34	-	0.97	1.65	14.95	20.39	-6.93%	-	2.64%	2.53%	554.35K
132	Thermal Coal	12.04B	15.48	9.43	3.68	1.22	1.16	10.23	14.50	10.19%	4.20%	5.08%	1.24%	5.63M
133	Tobacco	487.54B	23.18	14.68	2.77	5.07	7.21	35.57	17.72	-3.38%	8.38%	2.74%	0.70%	19.96M
134	Tools & Accessories	70.37B	23.15	17.33	2.64	1.81	2.66	23.78	21.90	7.45%	8.76%	10.99%	1.17%	10.48M
135	Travel Services	504.41B	28.61	18.98	1.63	3.30	10.10	8.52	18.76	0.89%	17.55%	9.70%	-0.85%	44.48M
136	Trucking	80.95B	30.83	22.84	1.82	1.46	2.98	63.75	41.00	8.99%	16.94%	4.70%	1.38%	11.62M
137	Uranium	50.12B	102.96	64.09	2.44	15.37	5.81	24.66	76.51	6.91%	42.18%	12.02%	0.37%	112.08M
138	Utilities - Diversified	99.06B	18.84	14.52	4.07	1.64	1.89	13.71	65.09	8.08%	4.63%	8.60%	-1.20%	35.44M
139	Utilities - Independent Power Producers	132.39B	26.66	21.50	2.42	2.26	11.80	32.62	37.13	14.23%	11.00%	14.44%	-1.67%	12.96M
140	Utilities - Regulated Electric	1171.05B	19.61	15.68	2.28	2.49	1.96	35.78	151.43	3.48%	8.59%	3.78%	-0.43%	165.80M
141	Utilities - Regulated Gas	89.71B	20.95	16.42	2.44	2.15	1.89	27.58	65.71	6.66%	8.60%	5.00%	-0.87%	14.32M
142	Utilities - Regulated Water	63.09B	15.38	17.75	1.83	3.60	2.10	31.74	47.26	12.62%	8.41%	9.32%	-2.09%	11.14M
143	Utilities - Renewable	162.43B	33.44	26.99	2.15	3.08	3.64	9.92	42.60	21.28%	15.54%	6.15%	-2.73%	13.94M
144	Waste Management	253.21B	43.20	31.20	3.92	3.81	6.26	128.65	39.95	9.39%	11.03%	9.77%	-0.12%	12.91M

